"","ANO","MES","IMAE","VENTA","GasolinaRegular","OCUPACION_HOT","VAR_INTERANUAL_IPC","CREDITO"
"89",1991,5,NA,NA,NA,NA,69.714,NA
"90",1991,6,NA,NA,NA,NA,66.067,NA
"91",1991,7,NA,NA,NA,NA,58.662,NA
"92",1991,8,NA,NA,NA,NA,44.381,NA
"93",1991,9,NA,NA,NA,NA,33.337,NA
"94",1991,10,NA,NA,NA,NA,21.762,NA
"95",1991,11,NA,NA,NA,NA,13.393,NA
"96",1991,12,NA,NA,NA,NA,7.902,NA
"97",1992,1,NA,NA,NA,NA,7.8,NA
"98",1992,2,NA,NA,NA,NA,2.375,NA
"99",1992,3,NA,NA,NA,NA,0.768,NA
"100",1992,4,NA,NA,NA,NA,2.765,NA
"101",1992,5,NA,NA,NA,NA,3.53,NA
"102",1992,6,NA,NA,NA,NA,6.119,NA
"103",1992,7,NA,NA,NA,NA,5.201,NA
"104",1992,8,NA,NA,NA,NA,4.617,NA
"105",1992,9,NA,NA,NA,NA,3.98,NA
"106",1992,10,NA,NA,NA,NA,4.223,NA
"107",1992,11,NA,NA,NA,NA,4.683,NA
"108",1992,12,NA,NA,NA,NA,5.165,NA
"109",1993,1,NA,NA,NA,NA,6.051,NA
"110",1993,2,NA,NA,NA,NA,7.569,NA
"111",1993,3,NA,NA,NA,NA,7.53,NA
"112",1993,4,NA,NA,NA,NA,6.582,NA
"113",1993,5,NA,NA,NA,NA,6.464,NA
"114",1993,6,NA,NA,NA,NA,4.318,NA
"115",1993,7,NA,NA,NA,NA,5.388,NA
"116",1993,8,NA,NA,NA,NA,4.372,NA
"117",1993,9,NA,NA,NA,NA,4.247,NA
"118",1993,10,NA,NA,NA,NA,4.164,NA
"119",1993,11,NA,NA,NA,NA,3.918,NA
"120",1993,12,NA,NA,NA,NA,2.788,NA
"121",1994,1,NA,NA,NA,NA,2.62,NA
"122",1994,2,NA,NA,NA,NA,3.838,NA
"123",1994,3,NA,NA,NA,NA,5.579,NA
"124",1994,4,NA,NA,NA,NA,7.203,NA
"125",1994,5,NA,NA,NA,NA,7.949,NA
"126",1994,6,NA,NA,NA,NA,8.191,NA
"127",1994,7,NA,NA,NA,NA,7.863,NA
"128",1994,8,NA,NA,NA,NA,9.14,NA
"129",1994,9,NA,NA,NA,NA,9.958,NA
"130",1994,10,NA,NA,NA,NA,10.781,NA
"131",1994,11,NA,NA,NA,NA,11.435,NA
"132",1994,12,NA,NA,NA,NA,14.314,NA
"133",1995,1,NA,NA,NA,NA,15.268,NA
"134",1995,2,NA,NA,NA,NA,14.467,NA
"135",1995,3,NA,NA,NA,NA,14.219,NA
"136",1995,4,NA,NA,NA,NA,12.757,NA
"137",1995,5,NA,NA,NA,NA,12.081,NA
"138",1995,6,NA,NA,NA,NA,11.785,NA
"139",1995,7,NA,NA,NA,NA,12.319,NA
